Series Name,Series Code,Country Name,Country Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Egypt, Arab Rep.",EGY,3.55016483786838,3.29064601202211,6.58784560886967,3.75870055176806
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,El Salvador,SLV,-7.893101359867,11.9047617015957,2.79955216943868,3.51097706608982
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Equatorial Guinea,GNQ,-4.79108083383294,0.860269956382069,3.22350831658598,-5.08930872071532
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Eritrea,ERI,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Estonia,EST,-2.88381004140328,7.15444748334397,0.0604278323325786,-3.02303584066192
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ethiopia,ETH,6.05953088643369,5.64153071734657,5.32117628383672,6.49813464238613
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Faroe Islands,FRO,-1.63732118017028,5.50438017256558,3.55602380418398,2.4890581166362
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Fiji,FJI,-17.0386675274098,-4.88103605578388,19.7927266933385,7.52429088237292
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Finland,FIN,-2.49103620977239,2.73471348589543,1.4500480727209,-1.16396281522198
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,France,FRA,-7.44064593044142,6.88233786590355,2.57084047443969,0.936487502671483
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,French Polynesia,PYF,-7.05099065433484,2.09478896837454,4.46607459000271,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Gabon,GAB,-1.8377610635094,1.46795731508091,3.03761449502689,2.44588083119469
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Gambia, The",GMB,0.591487287873974,5.25596878816744,5.49299823010114,4.79750895186164
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Georgia,GEO,-6.2904717853839,10.6442336580969,10.9585321385624,7.8322012152783
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Germany,DEU,-4.09513749064689,3.66999986156735,1.36973105536585,-0.266438410090913
